user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Hells4Heroes,"Red Cross director admits that almost $11million from bushfire donations WON'T go to victims and will be used for 'administration costs'. 😡
https://t.co/RNmFKHzlnG",2020-01-24T01:18:06.000Z,,Helen 🎄,NA,false,721,489,166,311,-178,-555
PhilGoyen,Red Cross admits to $11 million 'administration cost' to help fire victims https://t.co/4rFgaA2JrS,2020-01-23T04:43:47.000Z,https://t.co/ggXowYOgMW,Phil Goyen 🙏🏻,"Sydney, New South Wales",true,222,207,101,164,-43,-121
BenFordhamLive,"LISTEN | Australians have donated more than $95M to the Red Cross Disaster Relief and Recovery Fund.

But the Red Cross says right now - it’s only handing over $30M of the $95M to bushfire relief.

@jeff_kennett tells @BenFordham there needs to be more accountability. https://t.co/hXCJUlHBMG",2020-01-22T05:11:16.000Z,https://t.co/dma1EtfCU7,Ben Fordham Live,NA,false,288,532,83,175,-357,-205
mpsmithnews,"Red Cross banking fire donations ""for future emergencies"" https://t.co/q5RnZGdgCZ",2020-01-22T05:25:30.000Z,http://t.co/ENHCRa1L8l,Michael Smith News,off,false,182,190,64,185,-5,-118
guardian,Australian Red Cross defends spending 10% of bushfire donations on office costs https://t.co/F6CsblqZI5,2020-01-24T02:45:02.000Z,https://t.co/c53pnmnuIT,The Guardian,London,true,21,51,60,24,-27,39
BreakfastNews,"The @RedCrossAU has raised $115 million for the #AustraliaFires — and has allocated $30 million for immediate relief.

Red Cross' Poppy Brown explains why they're rolling the funding out over years, and says all interest earned on that money will go to communities. https://t.co/dvjeMKzB8V",2020-01-22T21:11:23.000Z,https://t.co/ANxfrEKaO9,News Breakfast,Australia,true,57,113,53,141,28,-4
BethanyinCBR,"This is exactly why I won’t donate to charities like the Red Cross. It is keeping $11m in ADMIN COSTS, even though they have so many volunteers. Thats $11m of YOUR donations that the Red Cross keep for themselves. 😡😡😡https://t.co/RAGUURfkBE",2020-01-23T07:55:49.000Z,,Bethany Williams,"Canberra, Australian Capital Territory",false,246,529,51,122,-407,-195
9NewsAUS,"There is growing outrage across Australia amid accusations the Red Cross is saving millions of donations meant for fire victims, to use for future disasters. @Gabrielle_Boyle #9News https://t.co/u0xOPNfgDZ",2020-01-22T18:35:23.000Z,,9News Australia,Australia,true,124,255,49,90,-165,-75
chrisriddell,"What on EARTH are charities doing in locking away over $100 million in donations for future disasters? 

This is an absolute betrayal of the Australian people by the big 3 charities

@RedCrossAU @VinniesAust @salvos 

#AustraliaOnFire @AndrewConstance 

https://t.co/hzDXv5gTfJ",2020-01-22T07:14:41.000Z,https://t.co/WskN4LSES7,chris riddell,+brisbane +london +los angeles,true,95,147,43,26,-121,-52
chelsea_hetho,"At an emotional press conference in Batemans Bay, Andrew Constance came out swinging against the Red Cross, Salvation Army and St Vincent De Paul for taking too long to distribute bushfire relief money. #auspol #AustraliaOnFire  https://t.co/MkzcpDp2wz via @abcnews",2020-01-22T08:52:33.000Z,https://t.co/LBo2eUwuO8,Chelsea Hetherington,"Sydney, Australia",false,256,588,43,78,-510,-213
