user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
wmarybeard,"Of course one can’t condone the (alleged) behaviour of Oxfam staff in Haiti and elsewhere. But I do wonder how hard it must be to sustain “civilised” values in a disaster zone. And overall I still respect those who go in to help out, where most of us wd not tread.",2018-02-16T21:32:56.000Z,https://t.co/DqPvEoRaGH,mary beard,NA,false,274,1873,711,657,-1216,437
el_pais,"La ONG Oxfam admite que varios de sus cooperantes contrataron a jóvenes prostitutas, incluso menores, para montar una orgía. Fueron invitadas a casas y hospedajes pagados por la organización tras el terremoto que destruyó Haití en 2010 https://t.co/Ng4c9BVwWc",2018-02-09T12:22:07.000Z,https://t.co/6g5qG3Lgo3,EL PAÍS,Madrid,true,528,221,178,68,-153,-350
itvnews,"As Oxfam ambassadors Minnie Driver and Desmond Tutu quit their roles amid the Haiti sex scandal, @simonpegg explains why he is sticking by the charity https://t.co/gyDSel88DE https://t.co/6sqOgMtucQ",2018-02-15T21:24:30.000Z,https://t.co/a6E93qvfJx,ITV News,United Kingdom,true,814,2388,174,128,-2260,-640
thetimes,Oxfam covered up the use of prostitutes by senior aid workers in earthquake-hit Haiti https://t.co/cLITJcP8mo,2018-02-09T07:34:00.000Z,https://t.co/aWO6ICt2VS,The Times,London,true,873,623,158,117,-506,-715
JohnSimpsonNews,Haiti was disgusting. But @Oxfam has done superb work for 70+ years &amp; I for one am not abandoning it now.,2018-02-20T15:57:48.000Z,,John Simpson,"Live in UK, travel anywhere",true,1394,5336,149,261,-5075,-1245
DPJHodges,"Oxfam CEO Mark Goldring: “The intensity and the ferocity of the attack makes you wonder, what did we do? We murdered babies in their cots? Certainly, the scale and the intensity of the attacks feels out of proportion to the level of culpability"". Genuine quote.",2018-02-17T09:07:28.000Z,,(((Dan Hodges))),NA,true,220,317,124,161,-156,-96
HillelNeuer,"No joke: @Oxfam country director who sexually exploited underage Haitian earthquake victims was a consultant for the United Nations ""Review of Protection from Sexual Exploitation and Abuse by UN &amp; NGO Personnel."" #MeToo https://t.co/tsoMmquUjx #oxfamscandal #oxfam #oxfamgate https://t.co/OfKIDokUdl",2018-02-14T20:09:31.000Z,https://t.co/O6GXWfj4VR,Hillel Neuer,"Geneva, Switzerland",true,635,440,98,56,-384,-537
Oxfam,Our statement on Haiti and Chad. Let us be clear: their behavior was and still is totally unacceptable – an appalling mark against the high values we set for ourselves at Oxfam. https://t.co/odiDBHOU2J,2018-02-11T21:41:34.000Z,https://t.co/XRURUyTsjM,Oxfam International,NA,true,218,310,86,118,-192,-132
BBCNewsnight,“Your country director had admitted to predatory behaviour… and you paid him for an extra month?” @maitlis asks the former Oxfam boss Dame Barbara Stocking #newsnight https://t.co/ClX1NVvx15,2018-02-09T22:42:21.000Z,https://t.co/kOz7JcH6BR,BBC Newsnight,"London, UK",true,246,179,84,71,-108,-162
BBCBreaking,"Penny Lawrence resigns as Deputy Chief Executive of Oxfam saying she takes ""full responsibility"" for behaviour of staff in Chad &amp; Haiti at the time when she was programme director https://t.co/oys0cwbdPW",2018-02-12T14:44:08.000Z,http://t.co/vBzl7LOaso,BBC Breaking News,"London, UK",true,289,512,82,129,-383,-207
EmmaManzini,"Remember, just £30 a month will provide clean prostitutes for up to six aid workers. Even a fiver could help pay for a blow job. So please give what you can, very good, very long time. #Oxfam",2018-02-12T09:17:55.000Z,,Emma Manzini,NA,false,1381,2828,79,135,-2693,-1302
SamWhyte,You asked some baffled granny behind the counter in an Oxfam shop what they reckon about sex work in Haiti? https://t.co/3dH5Vve2jy,2018-02-13T14:38:28.000Z,https://t.co/UYZ7Gl3SnB,Sam Whyte,NA,false,803,2591,79,64,-2527,-724
afneil,"87 incidents of sexual abuse recorded at Oxfam last year, 53 of them referred to police or other external authorities. 20 dismissals.",2018-02-11T06:14:32.000Z,,Andrew Neil,NA,true,636,663,74,112,-551,-562
MirrorPolitics,"'It's not like we murdered babies': Oxfam chief hits out at 'unfair' backlash over sex scandal
https://t.co/EoJmb1uRzG https://t.co/7tL6rlYybD",2018-02-16T23:27:22.000Z,https://t.co/dKUAJDaQIC,Mirror Politics,UK,true,21,9,74,46,37,53
oxfam_es,"Reacción de Oxfam a la historia de comportamiento sexual inapropiado en Haití: https://t.co/fOdMKx7Ipu
Esperamos poder reconstruir la confianza con nuestros seguidores, quienes saben, al igual que nosotros, que las acciones de unos pocos no representan los valores de Oxfam.",2018-02-09T16:39:01.000Z,https://t.co/aplatx7aga,Oxfam en español,América Latina y el Caribe,true,38,52,73,95,43,35
DPJHodges,So Labour finally issue a statement on Oxfam. They attack the Charity Commission and the Government. But not the organisation that was actually responsible for the abuse and cover-up.,2018-02-13T13:32:06.000Z,,(((Dan Hodges))),NA,true,854,1426,73,142,-1284,-781
LBC,The reality in the UK is that people from all aspects of life use sex workers. Are we guilty of a terrible double standard against the Oxfam staff? https://t.co/dDCrhQCLQD,2018-02-19T15:07:53.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,16,29,73,149,120,57
iescolar,Altos cargos de la ONG Oxfam pagaron por sexo a supervivientes del terremoto de Haití durante una misión humanitaria https://t.co/CT8drwrreJ,2018-02-09T12:20:29.000Z,https://t.co/9SEeSy3I9F,Ignacio Escolar,Madrid // España,true,694,219,65,95,-124,-629
TomLondon6,Is #Oxfam being punished for totally unacceptable behaviour by some of its staff in Haiti in 2011 and its own response to that - or is it really being punished for daring to attack the rich and powerful?,2018-02-12T07:26:39.000Z,https://t.co/JfXBq5rhw5,Tom London,London,false,453,848,59,106,-742,-394
GeorgeMonbiot,"Yes, the #oxfamscandal is terrible. But please don't let it be used to shut down the invaluable work that #Oxfam does around the world. Millions of people in desperate need would suffer as a result.",2018-02-12T07:23:02.000Z,http://t.co/DWv0C2B9q5,George Monbiot,NA,true,866,2050,58,123,-1927,-808
tnewtondunn,"Excl: Priti Patel claims DFID officials “at the highest levels” knew about aid workers’ sex abuse and tried to stop her going public about it;
https://t.co/6nGGHUyR99",2018-02-11T22:43:33.000Z,,Tom Newton Dunn,London,true,250,286,57,81,-205,-193
AnOpenSecret,BREAKING: TIMES INVESTIGATION- Top Oxfam staff paid Haiti quake survivors for sex. Charity covered up scandal in earthquake zone • Girls at ‘Caligula orgy’ may have been under-age https://t.co/1B22tDi2uG,2018-02-09T05:31:21.000Z,https://t.co/hkRhznwV8O,An Open Secret,"Palm Beach County, FL",false,356,250,55,40,-210,-301
LBC,"Priti Patel, the former secretary for international development, says Oxfam should be stripped of its government funding over the allegations it covered up a sex scandal involving aid workers. Is she right? https://t.co/vB7GK44PPM",2018-02-10T12:20:33.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,100,261,55,200,-61,-45
nytimes,"The British charity Oxfam has admitted to sexual misconduct by aid workers in Haiti, reportedly hiring prostitutes and hosting sex parties in 2011 https://t.co/nEhRZbzII1",2018-02-09T21:10:13.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,194,182,51,34,-148,-143
MariaJamardoC,"Tras el repugnante escándalo sexual que Oxfam silenció en Haití, nos enteramos que ocultó también otro idéntico en Chad. Si hubiese sido una ONG católica la jauría progre la habría lapidado. Como no lo es, silencio. Cuánta hipocresía...",2018-02-11T19:46:35.000Z,,María Jamardo,"Madrid, Comunidad de Madrid",false,2597,3340,48,102,-3238,-2549
damocrat,".@mrjamesob I’m tempted to up my Oxfam contribution, not because I don’t find this situation disgusting, but because there are thousands of decent workers doing a bloody great job to help people who are desperate, and this story will, no doubt, result in people giving less.",2018-02-12T10:25:38.000Z,https://t.co/9Xfuu08hDM,Damon,London,false,740,2562,46,100,-2462,-694
Oxfam,"Our reaction to sexual misconduct story in Haiti: https://t.co/xPSISBal84

We hope we can rebuild our trust with our supporters who know, as we do, that the actions of a few do not represent all that Oxfam stands for.",2018-02-09T15:56:23.000Z,https://t.co/XRURUyTsjM,Oxfam International,NA,true,80,89,45,103,14,-35
BBCNewsnight,“Was this the first time you ever heard of exploitative sexual behaviour going on at Oxfam?” @maitlis asks the former Oxfam boss Dame Barbara Stocking. Her reply? “No....” #newsnight https://t.co/ZpzzAEuvKb,2018-02-09T22:52:21.000Z,https://t.co/kOz7JcH6BR,BBC Newsnight,"London, UK",true,241,217,44,76,-141,-197
BBCBreaking,"Haiti has temporarily suspended Oxfam from operating in the country after allegations of sexual misconduct by some of their staff. 
https://t.co/B4K8NL5jaa",2018-02-22T19:19:40.000Z,http://t.co/vBzl7LOaso,BBC Breaking News,"London, UK",true,465,788,44,64,-724,-421
BBCNewsnight,"Sexual assault and harassment of humanitarian aid workers is widespread, says Dyan Mazurana of Tufts University, noting that Oxfam is actually an example of “best practice” #newsnight https://t.co/QeUNEnzVBF",2018-02-13T23:04:23.000Z,https://t.co/kOz7JcH6BR,BBC Newsnight,"London, UK",true,76,77,41,11,-66,-35
OxfamIntermon,"El artículo publicado hoy en The Times sobre Haití revela un comportamiento totalmente inaceptable, contrario a nuestros valores y a los altos estándares que esperamos de nuestro personal. Nuestro posicionamiento aquí https://t.co/tv8MIBj8gF",2018-02-09T12:31:20.000Z,https://t.co/TTrstEA7mY,Oxfam Intermón,España,true,270,280,40,99,-181,-230
324cat,"Membres d'Oxfam van organitzar orgies amb prostitutes durant la missió pel terratrèmol d'Haití, segons ""The Times"" https://t.co/BlNFeLPHKZ https://t.co/yEpECs7OSu",2018-02-09T12:56:42.000Z,https://t.co/ZNcVUlOvnh,324.cat,Barcelona,true,128,27,40,15,-12,-88
George_Osborne,Our editorial @EveningStandard - we mustn’t let the Oxfam scandal help those who want to cut the aid budget  https://t.co/ynxjor4f96,2018-02-12T12:12:50.000Z,,George Osborne,United Kingdom,true,177,332,39,45,-287,-138
DanielHewittITV,"Oxfam CEO Mark Goldring has denied the charity lied to the government in 2011 about what happened in Haiti when reporting it only as “misconduct”. He told @itvnews: “I recognise by telling half a story it feels that way, and with hindsight we should’ve told the whole story.” https://t.co/hWqOAAx7SU",2018-02-11T21:07:23.000Z,https://t.co/gOWeuAT9dE,Daniel Hewitt,United Kingdom,true,83,88,38,49,-39,-45
driverminnie,"All I can tell you about this awful revelation about Oxfam is that I am devastated.Devastated for the women who were used by people sent there to help them, devastated by the response of an organization that I have been raising awareness for since I was 9 years old #oxfamscandal",2018-02-13T21:59:00.000Z,https://t.co/o6ST7d5VGy,Minnie Driver,Los Angeles,true,357,1294,38,118,-1176,-319
