user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
theweeknd,woke up this morning shocked and embarrassed by this photo. i’m deeply offended and will not be working with @hm anymore... https://t.co/P3023iYzAb,2018-01-08T19:20:41.000Z,,The Weeknd,"Toronto, Ontario",true,100214,256137,13987,8592,-247545,-86227
nopoweradeinusa,"wow H&amp;M, I was fine with all of your clothing being made by tiny chinese children, but racism? that's where I draw the line",2018-01-10T01:40:33.000Z,,christian,kicking in your dads dry wall,false,24417,121080,983,140,-120940,-23434
stann3r,A black child and a monkey have no correlation. I believe anyone that has presumed H&amp;M are calling the child a ‘monkey’ are the only ‘racist’ people in the situation ?? ? ??? ??? ??? ??? Just me or,2018-01-08T22:20:17.000Z,,stan,"England, United Kingdom",false,3501,18515,153,71,-18444,-3348
EBONYMag,Mom of H&amp;M Model Used to Sell “Monkey” Hoodie is Mad at Us for Getting Mad: “Get over it! I don't think like that!” — https://t.co/uAgvJFWeSU https://t.co/9I1mGsrT56,2018-01-10T16:59:26.000Z,https://t.co/fu43zEtDcC,EBONY MAGAZINE,NA,true,5475,13697,2147,1077,-12620,-3328
ZeeTheBrat_,That H&amp;M hoodie in and of itself is not racist nor offensive. However putting it on and marketing it with a black child with historical and current context is just not a good look.,2018-01-08T16:26:57.000Z,,🍅🍅🍅,Over It,false,4003,12157,170,71,-12086,-3833
plies,H &amp; M (Horrible Merchandise).... We Got Some 4 Y'all Monkey Azz Doe....🤣🤣🤣 https://t.co/cdrJhc4vJN,2018-01-09T00:50:58.000Z,,Plies,Purple Heart 💜💜💜💜,true,6509,9300,862,137,-9163,-5647
FloydShivambu,That @hm nonsense of a clothing store is now facing consequences for its racism. All rational people should agree that the store should not be allowed to continue operating in South Africa. Well done to Fighters who physically confronted racism. https://t.co/cgdedYGoOj,2018-01-13T09:44:03.000Z,https://t.co/AxTSq4owXt,Floyd Shivambu,"World Citizen, based in SA",true,4185,7143,12090,3890,-3253,7905
StarLifeAtlanta,"The mother of the black boy from the H&amp;M picture has spoken and she doesn't see the big deal about the sweater. Do you agree with her? If not, does that make her a bad parent? Leave your thoughts.. #SLDH #StarlifeDancehall #DoBetter #Culture #Youshouldknowbetter #History https://t.co/tNq8Io2bLA",2018-01-10T21:29:00.000Z,http://t.co/Ct7MKGtRJs,STARLIFE ATLANTA,"Atlanta, GA",false,1709,5969,716,448,-5521,-993
JackieChanel,So wait...the mother was at the H&amp;M photoshoot and allowed her young black son to walk out on set wearing a “coolest monkey in the jungle” sweatshirt?  Whatever happened to protecting your kids? Guess that check was too nice. They picked the right one then. Wouldn’t have been me,2018-01-10T22:40:29.000Z,https://t.co/uH8nja9E3U,Jackie Chanel,The Batcave...where else?,false,1238,5225,574,792,-4433,-664
WalyDIA,"Cris de singe pendant les match
""C'est bon c'est que du foot""
Taubira en gueunon 
""Ça va c'est une blague""
Bamboula
""C'est à peu près convenable""
Michel Leeb qui joue un noir/singe
""C'est un sketch c'est pas grave""
H&amp;M Monkey
""C'est juste un sweat calmez vous""

Y'a du boulot.",2018-01-09T13:56:54.000Z,https://t.co/DeG3dWjAy0,Waly Dia,NA,true,5543,5135,84,114,-5021,-5459
